Label (Grouping),Median income (dollars)
ZCTA5 97865,
    Households,
        Estimate,"56,080"
        Margin of Error,"±5,825"
    Families,
        Estimate,"55,938"
        Margin of Error,"±7,187"
    Married-couple families,
        Estimate,"56,976"
        Margin of Error,"±7,482"
    Nonfamily households,
        Estimate,"56,346"
        Margin of Error,"±43,201"
ZCTA5 97867,
    Households,
        Estimate,"68,553"
        Margin of Error,"±7,065"
    Families,
        Estimate,"70,781"
        Margin of Error,"±3,065"
    Married-couple families,
        Estimate,"71,276"
        Margin of Error,"±4,817"
    Nonfamily households,
        Estimate,"35,000"
        Margin of Error,"±24,650"
ZCTA5 97868,
    Households,
        Estimate,"61,292"
        Margin of Error,"±3,897"
    Families,
        Estimate,"73,929"
        Margin of Error,"±12,262"
    Married-couple families,
        Estimate,"79,250"
        Margin of Error,"±14,373"
    Nonfamily households,
        Estimate,"31,389"
        Margin of Error,"±14,059"
ZCTA5 97869,
    Households,
        Estimate,"53,200"
        Margin of Error,"±7,286"
    Families,
        Estimate,"70,083"
        Margin of Error,"±11,979"
    Married-couple families,
        Estimate,"71,917"
        Margin of Error,"±15,146"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97870,
    Households,
        Estimate,"50,417"
        Margin of Error,"±8,315"
    Families,
        Estimate,"56,500"
        Margin of Error,"±15,212"
    Married-couple families,
        Estimate,"63,315"
        Margin of Error,"±14,043"
    Nonfamily households,
        Estimate,"23,000"
        Margin of Error,"±18,901"
ZCTA5 97873,
    Households,
        Estimate,"48,500"
        Margin of Error,"±16,997"
    Families,
        Estimate,"66,250"
        Margin of Error,"±34,658"
    Married-couple families,
        Estimate,"61,250"
        Margin of Error,"±32,194"
    Nonfamily households,
        Estimate,"22,292"
        Margin of Error,"±10,400"
ZCTA5 97874,
    Households,
        Estimate,"40,938"
        Margin of Error,"±9,785"
    Families,
        Estimate,"47,292"
        Margin of Error,"±9,819"
    Married-couple families,
        Estimate,"48,750"
        Margin of Error,"±9,911"
    Nonfamily households,
        Estimate,"25,250"
        Margin of Error,"±8,484"
ZCTA5 97875,
    Households,
        Estimate,"60,032"
        Margin of Error,"±10,641"
    Families,
        Estimate,"62,768"
        Margin of Error,"±9,089"
    Married-couple families,
        Estimate,"66,902"
        Margin of Error,"±10,717"
    Nonfamily households,
        Estimate,"29,079"
        Margin of Error,"±6,867"
ZCTA5 97876,
    Households,
        Estimate,"86,635"
        Margin of Error,"±8,946"
    Families,
        Estimate,"92,857"
        Margin of Error,"±10,609"
    Married-couple families,
        Estimate,"94,732"
        Margin of Error,"±10,780"
    Nonfamily households,
        Estimate,"21,875"
        Margin of Error,"±19,240"
ZCTA5 97877,
    Households,
        Estimate,"20,826"
        Margin of Error,"±5,649"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,"9,122"
        Margin of Error,"±1,193"
ZCTA5 97880,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"70,865"
        Margin of Error,"±8,627"
    Married-couple families,
        Estimate,"71,875"
        Margin of Error,"±32,190"
    Nonfamily households,
        Estimate,"13,421"
        Margin of Error,"±7,539"
ZCTA5 97882,
    Households,
        Estimate,"48,491"
        Margin of Error,"±3,408"
    Families,
        Estimate,"51,852"
        Margin of Error,"±16,680"
    Married-couple families,
        Estimate,"70,478"
        Margin of Error,"±13,497"
    Nonfamily households,
        Estimate,"35,272"
        Margin of Error,"±16,082"
ZCTA5 97883,
    Households,
        Estimate,"54,130"
        Margin of Error,"±6,409"
    Families,
        Estimate,"58,945"
        Margin of Error,"±7,214"
    Married-couple families,
        Estimate,"66,250"
        Margin of Error,"±15,534"
    Nonfamily households,
        Estimate,"22,583"
        Margin of Error,"±20,187"
ZCTA5 97884,
    Households,
        Estimate,"40,000"
        Margin of Error,"±9,380"
    Families,
        Estimate,"47,083"
        Margin of Error,"±6,180"
    Married-couple families,
        Estimate,"47,083"
        Margin of Error,"±6,180"
    Nonfamily households,
        Estimate,"28,393"
        Margin of Error,"±10,022"
ZCTA5 97885,
    Households,
        Estimate,"50,990"
        Margin of Error,"±9,291"
    Families,
        Estimate,"65,833"
        Margin of Error,"±28,974"
    Married-couple families,
        Estimate,"84,375"
        Margin of Error,"±9,210"
    Nonfamily households,
        Estimate,"42,426"
        Margin of Error,"±9,434"
ZCTA5 97886,
    Households,
        Estimate,"52,500"
        Margin of Error,"±18,124"
    Families,
        Estimate,"73,750"
        Margin of Error,"±31,903"
    Married-couple families,
        Estimate,"79,844"
        Margin of Error,"±35,034"
    Nonfamily households,
        Estimate,"20,179"
        Margin of Error,"±18,326"
ZCTA5 97901,
    Households,
        Estimate,"44,063"
        Margin of Error,"±8,986"
    Families,
        Estimate,"45,833"
        Margin of Error,"±17,527"
    Married-couple families,
        Estimate,"46,250"
        Margin of Error,"±19,410"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97903,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97904,
    Households,
        Estimate,"43,750"
        Margin of Error,±959
    Families,
        Estimate,"44,215"
        Margin of Error,±822
    Married-couple families,
        Estimate,"44,186"
        Margin of Error,±814
    Nonfamily households,
        Estimate,"17,045"
        Margin of Error,"±1,155"
ZCTA5 97905,
    Households,
        Estimate,"115,300"
        Margin of Error,"±113,562"
    Families,
        Estimate,"115,450"
        Margin of Error,"±93,781"
    Married-couple families,
        Estimate,"115,450"
        Margin of Error,"±93,781"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97906,
    Households,
        Estimate,"51,607"
        Margin of Error,"±10,842"
    Families,
        Estimate,"58,750"
        Margin of Error,"±11,985"
    Married-couple families,
        Estimate,"59,250"
        Margin of Error,"±17,660"
    Nonfamily households,
        Estimate,"17,500"
        Margin of Error,"±6,535"
ZCTA5 97907,
    Households,
        Estimate,"31,250"
        Margin of Error,"±19,750"
    Families,
        Estimate,"39,750"
        Margin of Error,"±13,715"
    Married-couple families,
        Estimate,"41,389"
        Margin of Error,"±20,469"
    Nonfamily households,
        Estimate,"24,107"
        Margin of Error,"±5,957"
ZCTA5 97908,
    Households,
        Estimate,"26,250"
        Margin of Error,"±18,610"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,"22,917"
        Margin of Error,"±19,274"
    Nonfamily households,
        Estimate,"30,833"
        Margin of Error,"±17,238"
ZCTA5 97909,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97910,
    Households,
        Estimate,"52,813"
        Margin of Error,"±12,686"
    Families,
        Estimate,"53,281"
        Margin of Error,"±13,103"
    Married-couple families,
        Estimate,"61,094"
        Margin of Error,"±9,380"
    Nonfamily households,
        Estimate,"30,938"
        Margin of Error,"±10,257"
ZCTA5 97911,
    Households,
        Estimate,"52,222"
        Margin of Error,"±4,634"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,"75,000"
        Margin of Error,"±70,823"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97913,
    Households,
        Estimate,"48,556"
        Margin of Error,"±2,642"
    Families,
        Estimate,"55,333"
        Margin of Error,"±9,816"
    Married-couple families,
        Estimate,"62,875"
        Margin of Error,"±3,432"
    Nonfamily households,
        Estimate,"30,542"
        Margin of Error,"±8,328"
ZCTA5 97914,
    Households,
        Estimate,"42,582"
        Margin of Error,"±7,322"
    Families,
        Estimate,"49,977"
        Margin of Error,"±7,621"
    Married-couple families,
        Estimate,"70,087"
        Margin of Error,"±5,348"
    Nonfamily households,
        Estimate,"23,544"
        Margin of Error,"±2,690"
ZCTA5 97918,
    Households,
        Estimate,"40,469"
        Margin of Error,"±11,018"
    Families,
        Estimate,"58,819"
        Margin of Error,"±11,715"
    Married-couple families,
        Estimate,"75,022"
        Margin of Error,"±11,304"
    Nonfamily households,
        Estimate,"31,440"
        Margin of Error,"±8,233"
ZCTA5 97920,
    Households,
        Estimate,"22,188"
        Margin of Error,"±14,987"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 99362,
    Households,
        Estimate,"60,413"
        Margin of Error,"±3,952"
    Families,
        Estimate,"75,091"
        Margin of Error,"±3,169"
    Married-couple families,
        Estimate,"84,934"
        Margin of Error,"±6,904"
    Nonfamily households,
        Estimate,"34,076"
        Margin of Error,"±8,449"
